 Date, Team, Acquired, Relinquished, Notes
2006-12-23, Rockets, , • Yao Ming, broken bone in right knee (out 6+ weeks)
2006-12-26, Celtics, , • Wally Szczerbiak, sprained right ankle (DNP)
2006-12-26, Hawks, , • Josh Smith, surgery to repair hernia (out 3-4 weeks)
2006-12-26, Nuggets, , • Marcus Camby, broken right ring finger (DNP)
2006-12-26, Warriors, , • Anthony Roberson, sprained left big toe (DNP)
2006-12-26, Warriors, , • Monta Ellis, bruised right shoulder (DNP)
2006-12-27, Hornets, , • Chris Paul, sprained right ankle (DNP)
2006-12-27, Kings, • Jason Hart, , returned to lineup
2006-12-28, Bobcats, , • Brevin Knight, torn abdominal muscle (out 4 weeks)
2006-12-28, Nuggets, , • Marcus Camby, broken right ring finger (DNP)
2006-12-28, Nuggets, , • Nene / Nene Hilario / Maybyner Hilario, right knee injury (DNP)
2006-12-29, Bobcats, , • Brevin Knight, surgery to repair torn abdominal muscle
2006-12-29, Hornets, , • Chris Paul, sprained right ankle (DNP)
2006-12-29, Nuggets, , • Marcus Camby, broken right ring finger (DNP)
2006-12-29, Nuggets, , • Nene / Nene Hilario / Maybyner Hilario, right knee injury (DNP)
2006-12-29, Pistons, , • Chauncey Billups, strained right calf (out 1-2 weeks)
2006-12-29, Rockets, , • Bonzi Wells, sore lower back (DNP)
2006-12-29, Warriors, , • Anthony Roberson, sprained left big toe (DNP)
2006-12-29, Warriors, , • Monta Ellis, bruised right shoulder (DNP)
2006-12-30, Heat, , • Jason Williams, quadricep fatigue (DNP)
2006-12-30, Hornets, , • Chris Paul, sprained right ankle (DNP)
2006-12-30, Raptors, , • T.J. Ford, sprained right ankle (DNP)
2006-12-30, Warriors, , • Jason Richardson, broken bone in right hand (out indefinitely)
 Date, Team, Acquired, Relinquished, Notes
2006-12-30, Warriors, , • Monta Ellis, bruised right shoulder (DNP)
2006-12-30, Wizards, , • Brendan Haywood, sprained right ankle (DNP)
2006-12-31, Mavericks, , • Dirk Nowitzki, sinus infection (DNP)
2006-12-31, Nuggets, , • Nene / Nene Hilario / Maybyner Hilario, right knee injury (DNP)
2006-12-31, Rockets, , • Bonzi Wells, sore lower back (DNP)
2007-01-02, Hornets, , • Chris Paul, sprained right ankle (DNP)
2007-01-02, Warriors, , • Jason Richardson, broken bone in right hand (DNP)
2007-01-02, Warriors, , • Monta Ellis, bruised right shoulder (DNP)
2007-01-03, Clippers, , • Cuttino Mobley, left elbow injury (DTD)
2007-01-03, Grizzlies, , • Brian Cardinal, left knee injury (DTD)
2007-01-03, Heat, , • Dwyane Wade, sprained right wrist (DNP)
2007-01-03, Heat, , • Pat Riley, head coach took leave of absence to address knee and hip problems
2007-01-03, Heat, , • Wayne Simien, salmonella (DNP)
2007-01-03, Rockets, , • Bonzi Wells, sore lower back (DNP)
2007-01-03, Warriors, , • Jason Richardson, broken bone in right hand (DNP)
